===========================
Normal rounds testing
===========================
Testing Alzette_b7e15162_k16_nr4, using 2^42 data, seeds 0000000000000123 0000000000000456
Trail (state words):
  80008000 c000c000 
  e682e682 c100c100 
  e081e081 c201c201 
  04030403 07000700 
  e280e280 03030303 
Found match #257 ebb65dd0:002d48f4 (... follows trail? 1)
Found match #258 b88410a2:d23c7612 (... follows trail? 1)
Found match #259 809cea8e:7a540a25 (... follows trail? 1)
Found match #260 eb502fa0:6e400189 (... follows trail? 1)
Found match #261 0ff621ce:e4529833 (... follows trail? 1)
Found match #262 15b839f6:f2ea0c83 (... follows trail? 1)
Found match #263 bd5a375a:d816888f (... follows trail? 1)
Found match #264 20f45338:6e358a1e (... follows trail? 1)
Found match #265 e37a1c56:4271e6da (... follows trail? 1)
Found match #266 2d1823b8:e2bd101a (... follows trail? 1)
Found match #267 dffa38a0:caf01824 (... follows trail? 1)
Found match #268 98a28490:6a51aedf (... follows trail? 1)
Found match #269 931e4488:64fe8ccd (... follows trail? 1)
Found match #270 296619f4:eaf983bf (... follows trail? 1)
Found match #271 a71e086e:64feaaf3 (... follows trail? 1)
Found match #272 c87c395a:88dc8172 (... follows trail? 1)
Found match #273 cbac88ae:8406aeb1 (... follows trail? 1)
Found match #274 de8e32a8:c69e1e22 (... follows trail? 1)
Found match #275 adb200a6:d49c38f0 (... follows trail? 1)
Found match #276 91886294:b48906b2 (... follows trail? 1)
Found match #277 f1a83cb4:c466019c (... follows trail? 1)
Found match #278 c25c219a:c8a510f3 (... follows trail? 1)
Found match #279 c068996c:4408b062 (... follows trail? 1)
Found match #280 9a0c6836:dcf0c809 (... follows trail? 1)
Found match #281 95940e8a:e4a0e8e6 (... follows trail? 1)
Found match #282 87ce5c7c:20a082d2 (... follows trail? 1)
Found match #283 e9103da8:c8eb1ea3 (... follows trail? 1)
  failed follow at round 2/4: 06060606 != 06020602
  failed follow at round 3/4: e281e281 != e280e280
Found match #284 e6c86cf4:70cabc94 (... follows trail? 0)
Found match #285 91f451b8:533c1660 (... follows trail? 1)
